X;participantID;wave;group;wordID;word;valence;firstOrder;comment;word.comment;intendedVote;ratingLaw;mean_valence_macro
1;509ba06d0627fb570e93eb4b98d21daa_t1;t1;experimentalGroup;ea6df036-7343-48ee-9e3c-98a26623001e;Klimagesetz;-3;Stromteuerung ## PV privat Unsinn ## Wirkung global Null;;Klimagesetz;0;1;-1,125
2;509ba06d0627fb570e93eb4b98d21daa_t1;t1;experimentalGroup;b73473bb-de71-47c2-a1f4-9e178450d70a;Teuer;-2;Hohe Kosten  Stromleitungen ## Mangellage Winter ungelöst;;Teuer;0;1;-1,125
3;509ba06d0627fb570e93eb4b98d21daa_t1;t1;experimentalGroup;debed5f6-70f7-429b-b366-d59af20cab4e;Stromteuerung;-2;Klimagesetz ## Hohe Kosten  Stromleitungen;;Stromteuerung;0;1;-1,125
4;509ba06d0627fb570e93eb4b98d21daa_t1;t1;experimentalGroup;8aa877cd-395d-453d-9d29-e87a0d23be01;Hohe Kosten  Stromleitungen;-2;Teuer ## Stromteuerung;;Hohe Kosten  Stromleitungen;0;1;-1,125
5;509ba06d0627fb570e93eb4b98d21daa_t1;t1;experimentalGroup;a3aa6fa7-1e58-4342-be99-0c1c69ceea0b;PV privat Unsinn;-2;Klimagesetz ## Mangellage Winter ungelöst;;PV privat Unsinn;0;1;-1,125
6;509ba06d0627fb570e93eb4b98d21daa_t1;t1;experimentalGroup;88c1a997-d441-4820-a3f0-1bfc04d44e12;Wirkung global Null;2;Klimagesetz ## Technologien fördern !;;Wirkung global Null;0;1;-1,125
7;509ba06d0627fb570e93eb4b98d21daa_t1;t1;experimentalGroup;f521d5c6-1cca-4938-8e38-07f9b5d0f606;Technologien fördern !;3;Wirkung global Null;;Technologien fördern !;0;1;-1,125
8;509ba06d0627fb570e93eb4b98d21daa_t1;t1;experimentalGroup;f01532b7-436f-4ff2-bcf7-86ce5760c205;Mangellage Winter ungelöst;-3;Teuer ## PV privat Unsinn;;Mangellage Winter ungelöst;0;1;-1,125
9;f7f9ba877b33041f2f3078e0be0668d0_t1;t1;experimentalGroup;51b51f40-9520-448d-afe6-34e7f9e10c4e;Richtige Richtung;3;Finanzieller Anreiz ## Vorgaben Politik ## Wasserkraft zu wenig ## Klimagesetz;"Richtige Richtung
";"Richtige Richtung Richtige Richtung
";1;5;-0,555555556
10;f7f9ba877b33041f2f3078e0be0668d0_t1;t1;experimentalGroup;1272b4a5-3325-43a8-a415-d6c55161dac6;Finanzieller Anreiz;1;Richtige Richtung ## Vorgaben Politik ## Büroktratie ## Klimagesetz;"Finanzieller Anreiz
";"Finanzieller Anreiz Finanzieller Anreiz
";1;5;-0,555555556
11;f7f9ba877b33041f2f3078e0be0668d0_t1;t1;experimentalGroup;7e833954-f811-40df-bcba-eab82bedb8ef;Vorgaben Politik;0;Richtige Richtung ## Finanzieller Anreiz;Vorgaben Politik;Vorgaben Politik Vorgaben Politik;1;5;-0,555555556
12;f7f9ba877b33041f2f3078e0be0668d0_t1;t1;experimentalGroup;2b5dfa40-f9a1-4add-8d5f-47df27617c96;Wirksamkeit;10;Tropfen  ## Wasserkraft zu wenig;Wirksamkeit;Wirksamkeit Wirksamkeit;1;5;-0,555555556
13;f7f9ba877b33041f2f3078e0be0668d0_t1;t1;experimentalGroup;6dfbf4e8-f74c-40bb-ab4a-9cde61ad405d;Tropfen;-3;Wirksamkeit ## Entschlossenheit;Tropfen auf den heissen Stein mit Globalsicht;Tropfen  Tropfen auf den heissen Stein mit Globalsicht;1;5;-0,555555556
14;f7f9ba877b33041f2f3078e0be0668d0_t1;t1;experimentalGroup;764b0ca8-65a1-42a9-b0af-220591024f01;Wasserkraft zu wenig;-2;Richtige Richtung ## Wirksamkeit ## Klimagesetz ## Entschlossenheit;Schweiz nutzt Wasserkraft zu wenig;Wasserkraft zu wenig Schweiz nutzt Wasserkraft zu wenig;1;5;-0,555555556
15;f7f9ba877b33041f2f3078e0be0668d0_t1;t1;experimentalGroup;139b8b2d-4a03-4a8e-afd0-9d126ad78689;Büroktratie;-2;Finanzieller Anreiz ## Klimagesetz ## Entschlossenheit;Büroktratie;Büroktratie Büroktratie;1;5;-0,555555556
16;f7f9ba877b33041f2f3078e0be0668d0_t1;t1;experimentalGroup;61d336ab-1170-45ad-91d6-f6fd88455010;Klimagesetz;0;Richtige Richtung ## Finanzieller Anreiz ## Wasserkraft zu wenig ## Büroktratie;;Klimagesetz;1;5;-0,555555556
17;f7f9ba877b33041f2f3078e0be0668d0_t1;t1;experimentalGroup;cf72d4f1-be2a-472d-9304-c8fd8e3d858e;Entschlossenheit;-2;Tropfen  ## Wasserkraft zu wenig ## Büroktratie;Entschlossenheit;Entschlossenheit Entschlossenheit;1;5;-0,555555556
18;2b8caf3d6e73048bc9645aee62748efc_t1;t1;experimentalGroup;d68ae7c8-a870-4827-8697-1ef1f8ea6158;Klimagesetz;0;Planeten retten ## Politik muss handeln ## zu wenig stark ## wichtiges Gesetz;;Klimagesetz;1;7,5;0,2
19;2b8caf3d6e73048bc9645aee62748efc_t1;t1;experimentalGroup;1089e727-419e-43c2-af09-c4a40d5ae57c;Planeten retten;3;Klimagesetz ## schmutzige Energie verbieten ## Dringlichkeit ## Klimmajugend;;Planeten retten;1;7,5;0,2
20;2b8caf3d6e73048bc9645aee62748efc_t1;t1;experimentalGroup;ca773b27-3497-4a15-8a64-a228a6b8de56;Politik muss handeln;10;Klimagesetz ## Verbote  ## schmutzige Energie verbieten ## Subventionen;;Politik muss handeln;1;7,5;0,2
21;2b8caf3d6e73048bc9645aee62748efc_t1;t1;experimentalGroup;b302b768-9fec-4592-88f2-b98c7e8f438b;Verbote;1;Politik muss handeln ## schmutzige Energie verbieten;braucht verbote nicht nur Richtlinien;Verbote  braucht verbote nicht nur Richtlinien;1;7,5;0,2
22;2b8caf3d6e73048bc9645aee62748efc_t1;t1;experimentalGroup;8f61874a-6487-45c2-bfb3-509a4519ec55;zu wenig stark;-3;Klimagesetz ## Dringlichkeit;es wird zu wenig und zu langsam gemacht, villeicht ist es schon zu spät;zu wenig stark es wird zu wenig und zu langsam gemacht, villeicht ist es schon zu spät;1;7,5;0,2
23;2b8caf3d6e73048bc9645aee62748efc_t1;t1;experimentalGroup;6f87b23d-ce20-432e-b84f-e7b2cf179b8e;schmutzige Energie verbieten;2;Planeten retten ## Politik muss handeln ## Verbote;;schmutzige Energie verbieten;1;7,5;0,2
24;2b8caf3d6e73048bc9645aee62748efc_t1;t1;experimentalGroup;f6e2002c-bfb2-41b9-9bfa-5de341b5064a;Dringlichkeit;-2;Planeten retten ## zu wenig stark;haben nicht mehr viel Zeit;Dringlichkeit haben nicht mehr viel Zeit;1;7,5;0,2
25;2b8caf3d6e73048bc9645aee62748efc_t1;t1;experimentalGroup;e37837ba-00fe-4768-9836-2d46b21c3775;Klimmajugend;10;Planeten retten;diejenigen die sich auf den Boden kleben versuchen wenigstens etwas, wenn auch speziell;Klimmajugend diejenigen die sich auf den Boden kleben versuchen wenigstens etwas, wenn auch speziell;1;7,5;0,2
26;2b8caf3d6e73048bc9645aee62748efc_t1;t1;experimentalGroup;334f6519-c4e9-431b-8756-89f85ddcbc44;Subventionen;1;Politik muss handeln;saubere Energie und Nachhaltigekeit födrern;Subventionen saubere Energie und Nachhaltigekeit födrern;1;7,5;0,2
27;2b8caf3d6e73048bc9645aee62748efc_t1;t1;experimentalGroup;ed50c1b2-5337-4835-b091-9ffeef4cb4a4;wichtiges Gesetz;0;Klimagesetz;seit Jahren das wichtigste was wir haben, besser als Hornkuh initiative -.-;wichtiges Gesetz  seit Jahren das wichtigste was wir haben, besser als Hornkuh initiative -.-;1;7,5;0,2
28;68c497441cae99543f78b5e9c82b433a_t1;t1;experimentalGroup;4a907581-6fe0-4275-8b4a-b88ae2aa9b1e;Klimagesetz;0;teuer ## Nachhaltigkeit ## CO2 Reduktion;;Klimagesetz;0;2;-0,222222222
